MEDIA BUYER'S TRACKER,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
LIVESTREAM DATE,TALENT'S NAME,FORMAT,LINK,VIEWS,,,,
2/19/2026,YUJI,Livestream,https://www.facebook.com/share/v/182LS3t9NM/,"13,000",,,,
2/20/2026,YUJI,Livestream,https://www.facebook.com/share/v/18LzLSQyLN/,"10,000",,,,
2/20/2026,YUJI,Livestream,https://www.facebook.com/share/v/14UVsS59ezc/,"14,000",,,,
2/21/2026,YUJI,Livestream,https://www.facebook.com/share/v/1G5CahdQsb/,"13,000",,,,
2/22/2026,YUJI,Livestream,https://www.facebook.com/share/v/1AzKfLR5Fs/,"13,000",,,,
2/22/2026,YUJI,Livestream,https://www.facebook.com/share/v/16P5MAuchU/,"17,000",,,,
2/23/2026,YUJI,Livestream,https://www.facebook.com/share/v/17F3RRrUBn/,"16,000",,,,
2/25/2026,YUJI,Livestream,https://www.facebook.com/share/v/1AoBpboHxj/,"12,000",,,,
2/25/2026,YUJI,Livestream,https://www.facebook.com/share/v/1adefCkWm4/,"11,000",,,,
2/25/2026,YUJI,Livestream,https://www.facebook.com/share/v/18226XbwM7/,"12,000",,,,
2/26/2026,YUJI,Livestream,https://www.facebook.com/share/v/1CFTuD95D6/,"16,000",,,,
2/26/2026,YUJI,Livestream,https://www.facebook.com/share/v/18TgX85ShY/,"13,000",,,,
2/27/2026,YUJI,Livestream,https://www.facebook.com/share/v/1NjbwLvY6K/,"9,600",,,,
2/28/2026,YUJI,Livestream,https://www.facebook.com/share/v/1ATfn5WSyr/,"12,000",,,,
2/28/2026,YUJI,Livestream,https://www.facebook.com/share/v/1EDJQHiahu/,"14,000",,,,
2/1/2026,JAPE,Livestream,https://www.facebook.com/share/v/14TKVy9Wsef/,"77,000",,,,
2/2/2026,JAPE,Livestream,https://www.facebook.com/share/v/1Dg6fs81Fh/,"89,000",,,,
2/3/2026,JAPE,Livestream,https://www.facebook.com/share/v/17zxYMe9Ba/,"115,000",,,,
2/5/2026,JAPE,Livestream,https://www.facebook.com/share/v/1AeiTyKdRx/,"68,000",,,,
2/10/2026,JAPE,Livestream,https://www.facebook.com/share/v/1D7m3hEezd/,"48,000",,,,
2/11/2026,JAPE,Livestream,https://www.facebook.com/share/v/1P5iMZxEEX/,"61,000",,,,
2/12/2026,JAPE,Livestream,https://www.facebook.com/share/r/1CbkPMD8kL/,"60,000",,,,
2/12/2026,JAPE,Livestream,https://www.facebook.com/share/v/1Af26Sxew7/,"43,000",,,,
2/13/2026,JAPE,Livestream,https://www.facebook.com/share/v/1GSeLKtvo6/,"68,000",,,,
2/13/2026,JAPE,Livestream,https://www.facebook.com/share/v/1AkeVjd7rR/,"66,000",,,,
2/14/2026,JAPE,Livestream,https://www.facebook.com/share/v/1GACB45PWH/,"62,000",,,,
2/14/2026,JAPE,Livestream,https://www.facebook.com/share/v/1CDtQcuSeT/,"49,000",,,,
2/15/2026,JAPE,Livestream,https://www.facebook.com/share/v/1B2DxmLiFE/,"49,000",,,,
2/15/2026,JAPE,Livestream,https://www.facebook.com/share/v/1AZQWbUX7p/,"42,000",,,,
2/15/2026,JAPE,Livestream,https://www.facebook.com/share/v/18Gav2sLa5/,"59,000",,,,
2/16/2026,JAPE,Livestream,https://www.facebook.com/share/v/1AkoeRAqCc/,"99,000",,,,
2/17/2026,JAPE,Livestream,https://www.facebook.com/share/v/1WQV89qZWT/,"236,000",,,,
2/17/2026,JAPE,Livestream,https://www.facebook.com/share/v/1DnA2uYg61/,"79,000",,,,
2/19/2026,JAPE,Livestream,https://www.facebook.com/share/v/1Bv2z2hfXY/,"71,000",,,,
2/21/2026,JAPE,Livestream,https://www.facebook.com/share/v/18BxmKUJjY/,"36,000",,,,
2/21/2026,JAPE,Livestream,https://www.facebook.com/share/v/1DqxUVXVT3/,"32,000",,,,
2/22/2026,JAPE,Livestream,https://www.facebook.com/share/v/1AmmK4eAs7/,"65,000",,,,
2/23/2026,JAPE,Livestream,https://www.facebook.com/share/v/19rkzUWe1Q/,"42,000",,,,
2/24/2026,JAPE,Livestream,https://www.facebook.com/share/v/17vSS6cYHe/,"45,000",,,,
2/3/2026,RIBO,Livestream,https://www.facebook.com/share/v/17z45D9aCf/,"15,000",,,,
2/5/2026,RIBO,Livestream,https://www.facebook.com/share/v/16ttnJQMss/,"15,000",,,,
2/6/2026,RIBO,Livestream,https://www.facebook.com/share/v/18LfkRUUbh/,"15,000",,,,
2/7/2026,RIBO,Livestream,https://www.facebook.com/share/r/1DQMT9G4iV/,"9,600",,,,
2/7/2026,RIBO,Livestream,https://www.facebook.com/share/v/1K9y7nqyE6/,"12,000",,,,
2/8/2026,RIBO,Livestream,https://www.facebook.com/share/v/18GDomcDnN/,"14,000",,,,
2/9/2026,RIBO,Livestream,https://www.facebook.com/share/v/1C6x55yzyB/,"9,400",,,,
2/10/2026,RIBO,Livestream,https://www.facebook.com/share/v/18E9TTim6y/,"17,000",,,,
2/11/2026,RIBO,Livestream,https://www.facebook.com/share/v/1EJqJoAmqX/,"12,000",,,,
2/13/2026,RIBO,Livestream,https://www.facebook.com/share/v/14TeFadcB6f/,"3,800",,,,
2/14/2026,RIBO,Livestream,https://www.facebook.com/share/v/182Wc9iGRV/,"3,100",,,,
2/15/2026,RIBO,Livestream,https://www.facebook.com/share/v/14TaAzBFvVH/,"12,000",,,,
2/16/2026,RIBO,Livestream,https://www.facebook.com/share/v/1AyofCFDZF/,"13,000",,,,
2/17/2026,RIBO,Livestream,https://www.facebook.com/share/v/18C1DTmMpA/,"15,000",,,,
2/18/2026,RIBO,Livestream,https://www.facebook.com/share/v/1DRjfa8MaC/,"13,000",,,,
2/19/2026,RIBO,Livestream,https://www.facebook.com/share/v/1CbhTj6h43/,"14,000",,,,
2/20/2026,RIBO,Livestream,https://www.facebook.com/share/v/1AVwHRWjZ5/,"6,000",,,,
2/21/2026,RIBO,Livestream,https://www.facebook.com/share/v/1Ai5W6nkgB/,"11,000",,,,
2/22/2026,RIBO,Livestream,https://www.facebook.com/share/v/16Hg4N6ox2/,"21,000",,,,
2/23/2026,RIBO,Livestream,https://www.facebook.com/share/v/17KNppvD2F/,"4,600",,,,
2/24/2026,RIBO,Livestream,https://www.facebook.com/share/v/1DfQ6DDpiE/,"14,000",,,,
2/25/2026,RIBO,Livestream,https://www.facebook.com/share/v/1AE9caCf5E/,"9,300",,,,
2/26/2026,RIBO,Livestream,https://www.facebook.com/share/v/1BtuxDTsjo/,"3,700",,,,
2/27/2026,RIBO,Livestream,https://www.facebook.com/share/v/1CBTt7b6hV/,"13,000",,,,
2/28/2026,RIBO,Livestream,https://www.facebook.com/share/v/1KmwEV1rwF/,"13,000",,,,
2/1/2026,ZICO,Livestream,https://www.facebook.com/share/v/18MMpbCvLY/,"35,000",,,,
2/2/2026,ZICO,Livestream,https://www.facebook.com/share/v/1HcdCrMbLm/,"21,000",,,,
2/2/2026,ZICO,Livestream,https://www.facebook.com/share/v/1afihv2MkF/,"23,000",,,,
2/3/2026,ZICO,Livestream,https://www.facebook.com/share/v/19CJeQUjEb/,"24,000",,,,
2/3/2026,ZICO,Livestream,https://www.facebook.com/share/v/18HUd9cSrh/,"27,000",,,,
2/3/2026,ZICO,Livestream,https://www.facebook.com/share/v/1Hm2rdfMgm/,"40,000",,,,
2/4/2026,ZICO,Livestream,https://www.facebook.com/share/v/1ApPG8pDUR/,"27,000",,,,
2/4/2026,ZICO,Livestream,https://www.facebook.com/share/v/17kK1k4x9p/,"28,000",,,,
2/5/2026,ZICO,Livestream,https://www.facebook.com/share/v/1DeB9YWz37/,"24,000",,,,
2/6/2026,ZICO,Livestream,https://www.facebook.com/share/v/1caGyvfcs4/,"17,000",,,,
2/6/2026,ZICO,Livestream,https://www.facebook.com/share/v/1Lx3Jy3kcw/,"17,000",,,,
2/7/2026,ZICO,Livestream,https://www.facebook.com/share/v/17pNoHuJHg/,"22,000",,,,
2/11/2026,ZICO,Livestream,https://www.facebook.com/share/v/1Ay5QY32EU/,"22,000",,,,
2/14/2026,ZICO,Livestream,https://www.facebook.com/share/v/1AcHH7XRE7/,"11,000",,,,
2/15/2026,ZICO,Livestream,https://www.facebook.com/share/v/18QPw53Lnu/,"16,000",,,,
2/16/2026,ZICO,Livestream,https://www.facebook.com/share/v/1GZZ9MP4fP/,"30,000",,,,
2/16/2026,ZICO,Livestream,https://www.facebook.com/share/v/1AYZSyhnzx/,"28,000",,,,
2/18/2026,ZICO,Livestream,https://www.facebook.com/share/v/1AdG5XRw4S/,"20,000",,,,
2/18/2026,ZICO,Livestream,https://www.facebook.com/share/v/1BY2EkrDFs/,"18,000",,,,
2/19/2026,ZICO,Livestream,https://www.facebook.com/share/v/1E6WDK89Dk/,"21,000",,,,
2/20/2026,ZICO,Livestream,https://www.facebook.com/share/v/1E6kH9eqWm/,"16,000",,,,
2/20/2026,ZICO,Livestream,https://www.facebook.com/share/v/1BqaYYzCpW/,"17,000",,,,
2/23/2026,ZICO,Livestream,https://www.facebook.com/share/v/1F4WkkmWAK/,"15,000",,,,
2/23/2026,ZICO,Livestream,https://www.facebook.com/share/v/171ZntNNB9/,"21,000",,,,
2/25/2026,ZICO,Livestream,https://www.facebook.com/share/v/1Cshz4jrUP/,"12,000",,,,
2/26/2026,ZICO,Livestream,https://www.facebook.com/share/v/1AzLrxBWVt/,"12,000",,,,
2/26/2026,ZICO,Livestream,https://www.facebook.com/share/v/1AdhmrgHub/,"10,000",,,,
2/26/2026,ZICO,Livestream,https://www.facebook.com/share/v/1Pbwcqqjdu/,"15,000",,,,
2/27/2026,ZICO,Livestream,https://www.facebook.com/share/v/18Cajmg1AX/,"9,200",,,,
2/27/2026,ZICO,Livestream,https://www.facebook.com/share/v/18F91Sbrc2/,"15,000",,,,
2/1/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/1AYi8temoU/,"353,000",,,,
2/1/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/1Hicv7XWyf/,"294,000",,,,
2/2/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/18Zx5hvywY/,"268,000",,,,
2/2/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/1DwrL5PRyr/,"260,000",,,,
2/3/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/18Qebi7MzC/,"244,000",,,,
2/3/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/1JVfrkUfeY/,"387,000",,,,
2/4/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/1Gumhy5Xct/,"327,000",,,,
2/5/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/17FnBFwCSc/,"335,000",,,,
2/5/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/19rZ8yysxo/,"253,000",,,,
2/8/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/18MqSQHvaW/,"563,000",,,,
2/13/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/17xeCSsGjR/,"380,000",,,,
2/13/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/17DbPZT1Fi/,"431,000",,,,
2/20/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/18UyYmutjn/,"397,000",,,,
2/22/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/1E3Wqmke6r/,"429,000",,,,
2/24/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/v/1DrRWxGfoA/,"379,000",,,,
2/26/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/r/1GJcVqXKys/,"331,000",,,,
2/27/2026,AKOSI DOGIE,Reels,https://www.facebook.com/share/r/171KBe3s2c/,"442,000",,,,
2/1/2026,YAWI,Reels,https://www.facebook.com/share/r/1EHJVhvshN/,"156,000",,,,
2/2/2026,YAWI,Reels,https://www.facebook.com/share/r/18MpFHPFxB/,"60,000",,,,
2/4/2026,YAWI,Reels,https://www.facebook.com/share/r/1DUKb2yH6i/,"73,000",,,,
2/5/2026,YAWI,Reels,https://www.facebook.com/share/r/1DzZhzWioc/,"59,000",,,,
2/6/2026,YAWI,Reels,https://www.facebook.com/share/r/186Z3dwMzj/,"164,000",,,,
2/8/2026,YAWI,Reels,https://www.facebook.com/share/r/1XRWn6gipG/,"69,000",,,,
2/12/2026,YAWI,Reels,https://www.facebook.com/share/r/1JhzYp32YB/,"76,000",,,,
2/13/2026,YAWI,Reels,https://www.facebook.com/share/r/16wupg5tDw/,"57,000",,,,
2/14/2026,YAWI,Reels,https://www.facebook.com/share/r/16sLxH9hcx/,"92,000",,,,
2/15/2026,YAWI,Reels,https://www.facebook.com/share/r/1ZzWH5qVUK/,"77,000",,,,
2/17/2026,YAWI,Reels,https://www.facebook.com/share/r/1C42yZR9VD/,"73,000",,,,
2/18/2026,YAWI,Reels,https://www.facebook.com/share/r/17c7wkcW5W/,"142,000",,,,
2/19/2026,YAWI,Reels,https://www.facebook.com/share/r/1bEq3omcr3/,"108,000",,,,
2/20/2026,YAWI,Reels,https://www.facebook.com/share/r/1CDW1AAV9g/,"102,000",,,,
2/21/2026,YAWI,Reels,https://www.facebook.com/share/r/1C5wCADpij/,"110,000",,,,
